,Country name,Regional indicator_x,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Population_2020,Population_2019,"COVID-19_deaths_per_100,000_population_in_2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018",All-cause death _count_2019,All-cause_death_count_2020,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average",democ,autoc,polity,polity2,Regional indicator_y,Ladder score 2020,Standard error of ladder score 2020,upperwhisker 2020,lowerwhisker 2020,Logged GDP per capita 2020,Social support 2020,Healthy life expectancy 2020,Freedom to make life choices 2020,Generosity 2020,Perceptions of corruption 2020,Population_density_net_change,Change_in_ladder_score,Change_in_GDP_per_capita,Change_in_social_support,Change_in_healthy_life_expectancy,Change_in_freedom_to_make_life_choice,Change_in_generosity_2020,Change_in_perceptions_of_corruption
95,Niger,Sub-Saharan Africa,5.074,0.102,5.273,4.875,7.098,0.641,53.78,0.806,0.018,0.693,2.43,0.162,0.402,0.167,0.516,0.2,0.157,3.47,24346468,3.84%,895929,19,1266700,4000,7,15,17%,0.31%,24206636,23310715,0.43,15.1,0,1.126,9.29,0,0,0.484,34.28,,,,,,6,1,5,5,Sub-Saharan Africa,4.910,0.077,5.061,4.758,6.842,0.617,53.500,0.760,0.014,0.723,0.707,0.164,0.256,0.024,0.280,0.046,0.004,-0.030
96,Turkmenistan,Commonwealth of Independent States,5.066,0.036,5.136,4.996,9.629,0.983,62.409,0.877,0.273,0.888,2.43,1.046,1.172,0.439,0.602,0.366,0.033,1.409,6046292,1.50%,89111,13,469930,-5000,2.8,27,53%,0.08%,5942089,5942089,,,0,1.463,8.735,0,0,0.511,26.5,,,,,,0,8,-8,-8,Commonwealth of Independent States,5.119,0.029,5.177,5.062,9.748,0.959,62.212,0.826,0.188,0.884,0.190,-0.053,-0.119,0.024,0.197,0.051,0.085,0.004
97,Gambia,Sub-Saharan Africa,5.051,0.089,5.225,4.877,7.686,0.69,55.16,0.697,0.424,0.746,2.43,0.367,0.511,0.21,0.384,0.465,0.123,2.99,2427782,2.94%,68962,239,10120,-3087,5.3,18,59%,0.03%,2416664,2347706,5.131,17.5,0,1.044,9.393,0,0,0.489,35.92,,,,,,4,0,4,4,Sub-Saharan Africa,4.751,0.067,4.882,4.619,7.322,0.693,55.012,0.733,0.343,0.691,6.814,0.300,0.364,-0.003,0.148,-0.036,0.081,0.055
98,Benin,Sub-Saharan Africa,5.045,0.073,5.189,4.901,8.087,0.489,54.713,0.757,-0.034,0.661,2.43,0.507,0.058,0.196,0.457,0.166,0.178,3.482,12175480,2.73%,322049,108,112760,-2000,4.9,19,48%,0.16%,12123198,11801151,0.363,18.8,0,0.971,9.319,0,0,0.398,47.76,,,,,,7,0,7,7,Sub-Saharan Africa,5.216,0.078,5.368,5.064,7.674,0.469,54.312,0.735,-0.004,0.741,2.856,-0.171,0.413,0.020,0.401,0.022,-0.030,-0.080
99,Laos,Southeast Asia,5.03,0.045,5.119,4.941,8.947,0.728,58.968,0.91,0.123,0.658,2.43,0.808,0.598,0.33,0.643,0.268,0.179,2.204,7293542,1.48%,106105,32,230800,-14704,2.7,24,36%,0.09%,7275556,7169455,0,24.4,0,0.773,8.184,1,0,0.708,36.39,,,,,,0,7,-7,-7,Southeast Asia,4.889,0.040,4.968,4.810,8.799,0.738,58.710,0.907,0.111,0.635,0.460,0.141,0.148,-0.010,0.258,0.003,0.012,0.023
100,Bangladesh,South Asia,5.025,0.046,5.115,4.934,8.454,0.693,64.8,0.877,-0.041,0.682,2.43,0.635,0.52,0.514,0.603,0.161,0.164,2.427,164972348,1.01%,1643222,1265,130170,-369501,2.1,28,39%,2.11%,164689383,163046161,4.59,27.5,0,0.824,8.349,0,1,0.577,43.973,,,,,,0,6,-6,-6,South Asia,4.833,0.040,4.911,4.754,8.287,0.687,64.503,0.901,-0.034,0.662,12.624,0.192,0.167,0.006,0.297,-0.024,-0.007,0.020
101,Guinea,Sub-Saharan Africa,4.984,0.09,5.16,4.808,7.838,0.639,55.008,0.697,0.095,0.766,2.43,0.42,0.399,0.206,0.384,0.25,0.111,3.216,13191279,2.83%,361549,53,245720,-4000,4.7,18,39%,0.17%,13132792,12771246,0.617,19,0,0.97,9.409,0,0,0.349,33.73,,,,,,4,0,4,4,Sub-Saharan Africa,4.949,0.073,5.092,4.806,7.751,0.638,54.468,0.707,0.076,0.762,1.471,0.035,0.087,0.001,0.540,-0.010,0.019,0.004
102,South Africa,Sub-Saharan Africa,4.956,0.06,5.074,4.839,9.403,0.86,56.904,0.749,-0.067,0.86,2.43,0.967,0.895,0.265,0.447,0.144,0.051,2.187,59436725,1.28%,750420,49,1213090,145405,2.4,28,67%,0.76%,59308690,58558270,48.001,27.3,0,0.607,9.297,0,0,0.193,65.426,,,,566004,,9,0,9,9,Sub-Saharan Africa,4.814,0.060,4.932,4.696,9.403,0.853,56.506,0.759,-0.110,0.843,0.619,0.142,0.000,0.007,0.398,-0.010,0.043,0.017
103,Turkey,Middle East and North Africa,4.948,0.046,5.038,4.857,10.24,0.822,67.199,0.576,-0.139,0.776,2.43,1.26,0.809,0.59,0.236,0.097,0.104,1.852,84495243,1.09%,909452,110,769630,283922,2.1,32,76%,1.08%,84339067,83429615,24.758,31.6,0,2.067,8.952,0,0,0.295,40.55,,,,,,0,4,-4,-4,Middle East and North Africa,5.132,0.040,5.210,5.054,10.129,0.826,66.903,0.609,-0.171,0.748,1.182,-0.184,0.111,-0.004,0.296,-0.033,0.032,0.028
104,Pakistan,South Asia,4.934,0.068,5.066,4.802,8.458,0.651,58.709,0.726,0.098,0.787,2.43,0.637,0.423,0.322,0.418,0.252,0.097,2.784,221612785,2.00%,4327022,287,770880,-233379,3.6,23,35%,2.83%,220892331,216565318,4.607,23.5,0,1.048,8.577,0,0,0.277,33.45,,,,,,7,0,7,7,South Asia,5.693,0.048,5.788,5.599,8.483,0.689,58.253,0.735,0.045,0.746,5.613,-0.759,-0.025,-0.038,0.456,-0.009,0.053,0.041
105,Morocco,Middle East and North Africa,4.918,0.06,5.036,4.8,8.903,0.56,66.208,0.774,-0.236,0.801,2.43,0.792,0.219,0.558,0.477,0.034,0.088,2.749,36985624,1.20%,438791,83,446300,-51419,2.4,30,64%,0.47%,36910558,36471769,20.016,29.6,0,2.336,9.226,0,0,0.397,39.55,,,,,,1,5,-4,-4,Middle East and North Africa,5.095,0.056,5.204,4.986,8.940,0.593,65.896,0.772,-0.240,0.816,0.983,-0.177,-0.037,-0.033,0.312,0.002,0.004,-0.015
106,Venezuela,Latin America and Caribbean,4.892,0.064,5.017,4.767,9.073,0.861,66.7,0.615,-0.169,0.827,2.43,0.852,0.897,0.574,0.284,0.078,0.072,2.135,28421581,-0.28%,-79889,32,882050,-653249,2.3,30,N.A.,0.36%,28435943,28515829,3.615,29,0,0.891,9.564,0,0,0.12,37.8,,,,,,1,4,-3,-3,Latin America and Caribbean,5.053,0.064,5.179,4.927,8.978,0.890,66.505,0.623,-0.169,0.837,-0.091,-0.161,0.095,-0.029,0.195,-0.008,0.000,-0.010
107,Georgia,Commonwealth of Independent States,4.891,0.054,4.998,4.785,9.585,0.671,64.3,0.783,-0.238,0.655,2.43,1.03,0.47,0.498,0.488,0.032,0.181,2.191,3987805,-0.19%,-7598,57,69490,-10000,2.1,38,58%,0.05%,3989175,3720382,62.795,38.7,0,1.706,8.851,0,1,0.198,37.94,,,,,,8,1,7,7,Commonwealth of Independent States,4.673,0.043,4.758,4.588,9.226,0.629,64.495,0.802,-0.229,0.666,-0.109,0.218,0.359,0.042,-0.195,-0.019,-0.009,-0.011
108,Algeria,Middle East and North Africa,4.887,0.053,4.991,4.783,9.342,0.802,66.005,0.48,-0.067,0.752,2.43,0.946,0.765,0.552,0.119,0.144,0.12,2.242,43984569,1.85%,797990,18,2381740,-10000,3.1,29,73%,0.56%,43851043,43053054,6.285,29.1,0,2.933,9.159,0,0,0.415,27.62,,,,,,3,1,2,2,Middle East and North Africa,5.005,0.044,5.092,4.918,9.538,0.803,65.905,0.467,-0.121,0.735,0.335,-0.118,-0.196,-0.001,0.100,0.013,0.054,0.017
109,Ukraine,Commonwealth of Independent States,4.875,0.052,4.977,4.773,9.436,0.888,64.902,0.724,-0.011,0.924,2.43,0.979,0.958,0.517,0.417,0.181,0.01,1.813,43686577,-0.59%,-259876,75,579320,10000,1.4,41,69%,0.56%,43733759,44385155,44.087,41.4,0,2.206,8.929,0,0,0.059,25,574123,587665,581114,616835,81.407,5,1,4,4,Commonwealth of Independent States,4.561,0.050,4.658,4.463,9.011,0.879,64.607,0.663,-0.031,0.921,-0.449,0.314,0.425,0.009,0.295,0.061,0.020,0.003
110,Iraq,Middle East and North Africa,4.854,0.059,4.97,4.738,9.24,0.746,60.583,0.63,-0.053,0.875,2.43,0.91,0.638,0.381,0.302,0.153,0.041,2.429,40372771,2.32%,912710,93,434320,7834,3.7,21,73%,0.52%,40222503,39309783,31.855,20,0,1.652,8.882,0,0,0.133,33.12,,,,,,6,0,6,6,Middle East and North Africa,4.785,0.078,4.937,4.632,9.661,0.748,59.904,0.633,-0.070,0.822,2.101,0.069,-0.421,-0.002,0.679,-0.003,0.017,0.053
111,Gabon,Sub-Saharan Africa,4.852,0.075,4.998,4.706,9.603,0.776,59.962,0.731,-0.2,0.84,2.43,1.037,0.707,0.362,0.424,0.058,0.064,2.201,2234448,2.45%,53155,9,257670,3260,4,23,87%,0.03%,2225728,2172579,2.875,23.1,0,0.865,9.305,0,1,0.104,38.02,,,,,,4,1,3,3,Sub-Saharan Africa,4.829,0.060,4.947,4.711,9.681,0.788,59.715,0.705,-0.222,0.849,0.206,0.023,-0.078,-0.012,0.247,0.026,0.022,-0.009
112,Burkina Faso,Sub-Saharan Africa,4.834,0.081,4.993,4.675,7.678,0.672,54.151,0.695,-0.009,0.748,2.43,0.364,0.472,0.179,0.381,0.182,0.122,3.133,20997293,2.86%,581895,76,273600,-25000,5.2,18,31%,0.27%,20903278,20321378,0.407,17.6,0,1.092,9.318,0,0,0.359,35.3,,,,,,7,1,6,6,Sub-Saharan Africa,4.769,0.062,4.890,4.647,7.469,0.713,53.889,0.666,-0.019,0.740,2.127,0.065,0.209,-0.041,0.262,0.029,0.010,0.008
113,Cambodia,Southeast Asia,4.83,0.067,4.963,4.698,8.36,0.765,62,0.959,0.034,0.843,2.43,0.603,0.68,0.426,0.702,0.21,0.061,2.148,16758448,1.41%,232423,95,176520,-30000,2.5,26,24%,0.21%,16718971,16486542,0,25.6,0,0.714,8.256,1,0,0.498,36,,,,,,0,4,-4,-4,Southeast Asia,4.848,0.058,4.962,4.735,8.250,0.773,61.530,0.960,0.052,0.823,1.317,-0.018,0.110,-0.008,0.470,-0.001,-0.018,0.020
114,Mozambique,Sub-Saharan Africa,4.794,0.103,4.997,4.592,7.158,0.744,54.706,0.882,0.061,0.684,2.43,0.183,0.634,0.196,0.608,0.228,0.163,2.783,31398811,2.93%,889399,40,786380,-5000,4.9,18,38%,0.40%,31255435,30366036,0.531,17.7,0,0.599,9.273,0,0,0.473,49.417,,,,,,6,1,5,5,Sub-Saharan Africa,4.624,0.079,4.779,4.468,7.069,0.724,54.206,0.864,0.032,0.683,1.131,0.170,0.089,0.020,0.500,0.018,0.029,0.001
115,Nigeria,Sub-Saharan Africa,4.759,0.052,4.861,4.658,8.533,0.74,50.102,0.737,0.037,0.878,2.43,0.663,0.625,0.051,0.433,0.212,0.039,2.736,206984347,2.58%,5175990,226,910770,-60000,5.4,18,52%,2.64%,206139587,200963599,0.625,18.1,0,1.023,9.279,0,0,0.2,44.894,,,,,,8,1,7,7,Sub-Saharan Africa,4.724,0.052,4.826,4.622,8.577,0.737,49.862,0.760,0.034,0.862,5.683,0.035,-0.044,0.003,0.240,-0.023,0.003,0.016
116,Mali,Sub-Saharan Africa,4.723,0.082,4.884,4.563,7.744,0.724,51.969,0.697,-0.036,0.827,2.43,0.387,0.59,0.11,0.384,0.164,0.072,3.016,20346106,3.02%,592802,17,1220190,-40000,5.9,16,44%,0.26%,20250834,19658031,1.328,16.4,0,1.07,9.352,0,0,0.274,33.04,,,,,,6,1,5,5,Sub-Saharan Africa,4.729,0.064,4.855,4.603,7.630,0.731,51.727,0.712,-0.044,0.839,0.486,-0.006,0.114,-0.007,0.242,-0.015,0.008,-0.012
117,Iran,Middle East and North Africa,4.721,0.055,4.828,4.614,9.584,0.71,66.3,0.608,0.218,0.714,2.43,1.03,0.557,0.561,0.275,0.33,0.144,1.823,84176929,1.30%,1079043,52,1628550,-55000,2.2,32,76%,1.08%,83992953,82913906,65.747,32.4,0,1.707,8.809,0,0,0.367,39.97,,,,,,0,7,-7,-7,Middle East and North Africa,4.672,0.056,4.782,4.563,9.814,0.695,66.006,0.648,0.118,0.715,0.663,0.049,-0.230,0.015,0.294,-0.040,0.100,-0.001
118,Uganda,Sub-Saharan Africa,4.636,0.073,4.78,4.493,7.677,0.781,56.101,0.709,0.122,0.855,2.43,0.364,0.718,0.24,0.398,0.267,0.054,2.596,45974931,3.32%,1471413,229,199810,168694,5,17,26%,0.59%,45741000,44269594,0.549,16.4,0,0.816,9.143,0,0,0.239,42.75,,,,,,1,2,-1,-1,Sub-Saharan Africa,4.432,0.068,4.566,4.298,7.500,0.765,55.708,0.732,0.099,0.837,7.364,0.204,0.177,0.016,0.393,-0.023,0.023,0.018
119,Liberia,Sub-Saharan Africa,4.625,0.106,4.833,4.417,7.288,0.72,56.498,0.735,0.05,0.85,2.43,0.228,0.58,0.253,0.43,0.221,0.057,2.857,5077411,2.44%,120307,53,96320,-5000,4.4,19,53%,0.06%,5057677,4937374,1.641,19.2,0,0.935,9.398,0,0,0.273,35.27,,,,,,8,1,7,7,Sub-Saharan Africa,4.558,0.082,4.719,4.397,7.054,0.709,56.096,0.735,0.042,0.856,1.249,0.067,0.234,0.011,0.402,0.000,0.008,-0.006
120,Kenya,Sub-Saharan Africa,4.607,0.072,4.747,4.466,8.361,0.688,60.704,0.779,0.287,0.825,2.43,0.603,0.508,0.385,0.483,0.375,0.073,2.18,53968739,2.28%,1197323,94,569140,-10000,3.5,20,28%,0.69%,53771300,52573973,3.106,20,0,0.781,9.119,0,0,0.331,40.78,,,,,,9,0,9,9,Sub-Saharan Africa,4.583,0.068,4.716,4.450,8.030,0.703,60.097,0.830,0.295,0.831,2.104,0.024,0.331,-0.015,0.607,-0.051,-0.008,-0.006
121,Tunisia,Middle East and North Africa,4.596,0.058,4.709,4.484,9.266,0.691,67.201,0.656,-0.201,0.87,2.43,0.919,0.515,0.59,0.334,0.057,0.044,2.138,11839918,1.06%,123900,76,155360,-4000,2.2,33,70%,0.15%,11818618,11694719,39.565,32.7,0,3.018,9.118,0,0,0.129,32.82,,,,,,7,0,7,7,Middle East and North Africa,4.392,0.050,4.490,4.295,9.315,0.689,66.898,0.593,-0.216,0.868,0.798,0.204,-0.049,0.002,0.303,0.063,0.015,0.002
122,Lebanon,Middle East and North Africa,4.584,0.055,4.691,4.477,9.626,0.848,67.355,0.525,-0.073,0.898,2.43,1.045,0.868,0.595,0.175,0.14,0.026,1.736,6819976,-0.44%,-30268,667,10230,-30012,2.1,30,78%,0.09%,6825442,6855713,21.508,31.1,0,1.891,8.956,0,0,0.107,31.83,,,,,,6,0,6,6,Middle East and North Africa,4.772,0.044,4.857,4.686,9.362,0.824,67.107,0.551,-0.061,0.902,-2.959,-0.188,0.264,0.024,0.248,-0.026,-0.012,-0.004
123,Namibia,Sub-Saharan Africa,4.574,0.064,4.7,4.448,9.161,0.818,56.799,0.719,-0.149,0.847,2.43,0.882,0.801,0.262,0.411,0.091,0.059,2.068,2548663,1.86%,46375,3,823290,-4806,3.4,22,55%,0.03%,2540916,2494530,8.068,22,0,0.625,9.349,0,1,0.311,57.535,,,,,,6,0,6,6,Sub-Saharan Africa,4.571,0.061,4.691,4.452,9.203,0.847,56.501,0.768,-0.185,0.851,0.056,0.003,-0.042,-0.029,0.298,-0.049,0.036,-0.004
124,Palestinian Territories,Middle East and North Africa,4.517,0.067,4.649,4.384,8.485,0.826,62.25,0.653,-0.163,0.821,2.43,0.646,0.819,0.434,0.33,0.082,0.075,2.131,,,,,,,,,,,5101416,4685306,27.443,20.4,0,2.111,8.975,0,0,0.164,33.69,,,,,,,,,,Middle East and North Africa,4.553,0.056,4.662,4.443,8.389,0.825,62.250,0.646,-0.162,0.824,,-0.036,0.096,0.001,0.000,0.007,-0.001,-0.003
125,Myanmar,Southeast Asia,4.426,0.052,4.527,4.324,8.541,0.779,59.302,0.876,0.509,0.66,2.43,0.666,0.713,0.341,0.601,0.52,0.178,1.407,54473253,0.67%,364380,83,653290,-163313,2.2,29,31%,0.70%,54409794,54045420,4.929,29.1,0,0.759,8.299,0,1,0.621,38.07,,,,,,,,,,Southeast Asia,4.308,0.043,4.392,4.224,8.680,0.784,58.962,0.895,0.561,0.645,0.558,0.118,-0.139,-0.005,0.340,-0.019,-0.052,0.015
126,Jordan,Middle East and North Africa,4.395,0.062,4.516,4.273,9.182,0.767,67,0.755,-0.167,0.705,2.43,0.89,0.685,0.583,0.455,0.079,0.15,1.553,10220604,1.00%,101440,115,88780,10220,2.8,24,91%,0.13%,10203140,10101694,37.577,23.2,0,1.895,8.961,0,0,0.465,33.1,,,,,,2,5,-3,-3,Middle East and North Africa,4.633,0.059,4.749,4.518,9.026,0.802,66.800,0.751,-0.163,0.700,1.143,-0.238,0.156,-0.035,0.200,0.004,-0.004,0.005
127,Chad,Sub-Saharan Africa,4.355,0.094,4.54,4.171,7.364,0.619,48.478,0.579,0.041,0.807,2.43,0.255,0.353,0,0.24,0.215,0.084,3.209,16502877,3.00%,478988,13,1259200,2000,5.8,17,23%,0.21%,16425859,15946876,0.633,16.7,0,1.077,9.213,0,0,0.269,43.32,,,,,,1,3,-2,-2,Sub-Saharan Africa,4.423,0.075,4.570,4.275,7.468,0.632,48.221,0.587,0.018,0.803,0.380,-0.068,-0.104,-0.013,0.257,-0.008,0.023,0.004
128,Sri Lanka,South Asia,4.325,0.066,4.454,4.196,9.47,0.827,67.299,0.841,0.079,0.863,2.43,0.99,0.82,0.593,0.559,0.239,0.049,1.075,21428970,0.42%,89516,341,62710,-97986,2.2,34,18%,0.27%,21413250,21670000,0.953,34.1,1,0.705,8.635,0,0,0.368,41.937,,,,,,7,1,6,6,South Asia,4.327,0.053,4.431,4.223,9.390,0.825,67.200,0.838,0.081,0.859,1.427,-0.002,0.080,0.002,0.099,0.003,-0.002,0.004
129,Swaziland,Sub-Saharan Africa,4.308,0.071,4.448,4.168,9.065,0.77,50.833,0.647,-0.185,0.708,2.43,0.849,0.693,0.074,0.323,0.067,0.147,2.155,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,-9,-9,Sub-Saharan Africa,4.308,0.071,4.448,4.168,9.163,0.770,51.188,0.647,-0.199,0.708,,0.000,-0.098,0.000,-0.355,0.000,0.014,0.000
130,Comoros,Sub-Saharan Africa,4.289,0.084,4.454,4.123,8.031,0.626,57.349,0.548,0.082,0.781,2.43,0.488,0.367,0.279,0.202,0.241,0.101,2.61,872695,2.20%,18715,467,1861,-2000,4.2,20,29%,0.01%,869595,850886,1.15,20.4,1,0.663,9.128,0,0,0.139,45.33,,,,,,0,3,-3,-3,Sub-Saharan Africa,4.289,0.084,4.454,4.123,7.834,0.626,57.349,0.548,0.090,0.781,10.056,0.000,0.197,0.000,0.000,0.000,-0.008,0.000
131,Egypt,Middle East and North Africa,4.283,0.045,4.371,4.195,9.367,0.75,61.998,0.749,-0.182,0.795,2.43,0.954,0.647,0.426,0.446,0.069,0.092,1.648,102659126,1.94%,1946331,103,995450,-38033,3.3,25,43%,1.31%,102334403,100388073,7.457,25.3,0,1.627,9.007,0,0,0.446,31.56,,,,,,0,4,-4,-4,Middle East and North Africa,4.151,0.036,4.222,4.081,9.317,0.735,61.780,0.708,-0.197,0.788,1.955,0.132,0.050,0.015,0.218,0.041,0.015,0.007
132,Ethiopia,Sub-Saharan Africa,4.275,0.051,4.374,4.175,7.694,0.764,59,0.752,0.082,0.761,2.43,0.37,0.679,0.331,0.451,0.241,0.114,2.089,115434444,2.57%,2884858,115,1000000,30000,4.3,19,21%,1.47%,114963583,112078730,1.673,19.8,0,0.915,9.047,0,1,0.397,33.498,,,,,,3,2,1,1,Sub-Saharan Africa,4.186,0.039,4.262,4.110,7.509,0.743,58.640,0.741,0.043,0.754,2.885,0.089,0.185,0.021,0.360,0.011,0.039,0.007
133,Mauritania,Sub-Saharan Africa,4.227,0.07,4.365,4.09,8.542,0.795,57.161,0.561,-0.106,0.731,2.43,0.666,0.749,0.273,0.218,0.119,0.133,2.069,4669775,2.74%,123962,5,1030700,5000,4.6,20,57%,0.06%,4649660,4525696,7.463,20.3,0,1.149,9.364,0,0,0.122,32.62,,,,,,0,2,-2,-2,Sub-Saharan Africa,4.375,0.055,4.483,4.267,8.234,0.791,57.010,0.552,-0.106,0.746,0.120,-0.148,0.308,0.004,0.151,0.009,0.000,-0.015
134,Madagascar,Sub-Saharan Africa,4.208,0.072,4.349,4.068,7.396,0.686,59.305,0.552,-0.005,0.803,2.43,0.266,0.503,0.341,0.207,0.185,0.087,2.62,27808395,2.68%,721711,48,581795,-1500,4.1,20,39%,0.36%,27691019,26969307,0.942,19.6,1,0.603,9.142,0,0,0.312,42.65,,,,,,6,0,6,6,Sub-Saharan Africa,4.166,0.058,4.278,4.053,7.282,0.668,59.105,0.558,-0.012,0.817,1.240,0.042,0.114,0.018,0.200,-0.006,0.007,-0.014
135,Togo,Sub-Saharan Africa,4.107,0.077,4.258,3.956,7.362,0.569,54.914,0.619,0.032,0.772,2.43,0.254,0.239,0.203,0.289,0.209,0.107,2.806,8310934,2.43%,196358,152,54390,-2000,4.4,19,43%,0.11%,8278737,8082366,0.821,19.4,0,0.966,9.329,0,1,0.212,43.06,,,,,,1,3,-2,-2,Sub-Saharan Africa,4.187,0.063,4.310,4.065,7.358,0.551,54.720,0.650,0.003,0.758,3.610,-0.080,0.004,0.018,0.194,-0.031,0.029,0.014
136,Zambia,Sub-Saharan Africa,4.073,0.069,4.209,3.938,8.145,0.708,55.809,0.782,0.061,0.823,2.43,0.528,0.552,0.231,0.487,0.227,0.074,1.975,18468257,2.93%,522925,25,743390,-8000,4.7,18,45%,0.24%,18383956,17861030,2.11,17.7,0,0.667,9.251,0,0,0.322,57.14,,,,,,6,0,6,6,Sub-Saharan Africa,3.759,0.061,3.878,3.640,8.225,0.699,55.299,0.807,0.078,0.801,0.703,0.314,-0.080,0.009,0.510,-0.025,-0.017,0.022
137,Sierra Leone,Sub-Saharan Africa,3.849,0.077,4.001,3.698,7.434,0.63,51.651,0.717,0.084,0.866,2.43,0.279,0.377,0.1,0.408,0.243,0.047,2.396,8004158,2.10%,163768,111,72180,-4200,4.3,19,43%,0.10%,7976985,7813215,0.953,19.1,0,0.962,9.401,0,0,0.338,34.03,,,,,,8,1,7,7,Sub-Saharan Africa,3.926,0.061,4.046,3.807,7.269,0.636,50.865,0.715,0.089,0.861,2.269,-0.077,0.165,-0.006,0.786,0.002,-0.005,0.005
138,India,South Asia,3.819,0.026,3.869,3.769,8.755,0.603,60.633,0.893,0.089,0.774,2.43,0.741,0.316,0.383,0.622,0.246,0.106,1.405,1382345085,0.99%,13586631,464,2973190,-532687,2.2,28,35%,17.70%,1380004385,1366417754,10.778,28.2,0,0.937,8.532,0,0,0.526,39.334,,,,,,9,0,9,9,South Asia,3.573,0.028,3.628,3.519,8.850,0.592,60.215,0.881,0.058,0.772,4.570,0.246,-0.095,0.011,0.418,0.012,0.031,0.002
139,Burundi,Sub-Saharan Africa,3.775,0.107,3.985,3.565,6.635,0.49,53.4,0.626,-0.024,0.607,2.43,0,0.062,0.155,0.298,0.172,0.212,2.876,11948454,3.12%,360204,463,25680,2001,5.5,17,14%,0.15%,11890781,11530580,0.017,17.5,0,0.781,9.186,0,0,0.293,38.62,,,,,,2,3,-1,-1,Sub-Saharan Africa,3.775,0.107,3.985,3.565,6.493,0.490,53.400,0.626,-0.018,0.607,14.027,0.000,0.142,0.000,0.000,0.000,-0.006,0.000
140,Yemen,Middle East and North Africa,3.658,0.07,3.794,3.521,7.578,0.832,57.122,0.602,-0.147,0.8,2.43,0.329,0.831,0.272,0.268,0.092,0.089,1.776,29935468,2.28%,664042,56,527970,-30000,3.8,20,38%,0.38%,29825968,29161922,2.045,20.3,0,1.005,8.966,0,0,0.267,36.71,,,,,,-77,-77,-77,0,Middle East and North Africa,3.527,0.054,3.634,3.421,7.760,0.818,56.727,0.600,-0.158,0.800,1.258,0.131,-0.182,0.014,0.395,0.002,0.011,0.000
141,Tanzania,Sub-Saharan Africa,3.623,0.071,3.762,3.485,7.876,0.702,57.999,0.833,0.183,0.577,2.43,0.433,0.54,0.3,0.549,0.307,0.231,1.263,60012400,2.98%,1728755,67,885800,-40076,4.9,18,37%,0.77%,59734213,58005463,0.035,17.7,0,0.732,9.153,0,0,0.621,37.78,,,,,,4,1,3,3,Sub-Saharan Africa,3.476,0.063,3.600,3.352,7.968,0.689,57.496,0.822,0.110,0.620,1.952,0.147,-0.092,0.013,0.503,0.011,0.073,-0.043
142,Haiti,Latin America and Caribbean,3.615,0.173,3.953,3.276,7.477,0.54,55.7,0.593,0.422,0.721,2.43,0.294,0.173,0.227,0.257,0.463,0.139,2.06,11426356,1.24%,139451,414,27560,-35000,3,24,57%,0.15%,11402533,11263077,2.07,24.3,1,1.079,9.501,0,0,0.216,50.945,,,,,,6,1,5,5,Latin America and Caribbean,3.721,0.101,3.920,3.522,7.411,0.593,55.599,0.538,0.401,0.685,5.060,-0.106,0.066,-0.053,0.101,0.055,0.021,0.036
143,Malawi,Sub-Saharan Africa,3.6,0.092,3.781,3.419,6.958,0.537,57.948,0.78,0.038,0.729,2.43,0.113,0.168,0.298,0.484,0.213,0.134,2.19,19211425,2.69%,501205,203,94280,-16053,4.3,18,18%,0.25%,19129955,18628747,0.988,18.1,0,0.667,9.207,0,0,0.323,44.69,,,,,,6,0,6,6,Sub-Saharan Africa,3.538,0.070,3.676,3.400,7.062,0.544,57.593,0.803,0.021,0.732,5.316,0.062,-0.104,-0.007,0.355,-0.023,0.017,-0.003
144,Lesotho,Sub-Saharan Africa,3.512,0.12,3.748,3.276,7.926,0.787,48.7,0.715,-0.131,0.915,2.43,0.451,0.731,0.007,0.405,0.103,0.015,1.8,2145194,0.80%,16981,71,30360,-10047,3.2,24,31%,0.03%,2142252,2125268,2.381,24,0,0.586,9.317,0,0,0.279,54.18,,,,,,9,1,8,8,Sub-Saharan Africa,3.653,0.082,3.814,3.492,7.960,0.780,48.004,0.738,-0.146,0.857,0.559,-0.141,-0.034,0.007,0.696,-0.023,0.015,0.058
