,Country name,Regional indicator_x,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Population_2020,Population_2019,"COVID-19_deaths_per_100,000_population_in_2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018",All-cause death _count_2019,All-cause_death_count_2020,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average",democ,autoc,polity,polity2,Regional indicator_y,Ladder score 2020,Standard error of ladder score 2020,upperwhisker 2020,lowerwhisker 2020,Logged GDP per capita 2020,Social support 2020,Healthy life expectancy 2020,Freedom to make life choices 2020,Generosity 2020,Perceptions of corruption 2020,Population_density_net_change,Change_in_ladder_score,Change_in_GDP_per_capita,Change_in_social_support,Change_in_healthy_life_expectancy,Change_in_freedom_to_make_life_choice,Change_in_generosity_2020,Change_in_perceptions_of_corruption
34,Brazil,Latin America and Caribbean,6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015,212821986,0.72%,1509890,25,8358140,21200,1.7,33,88%,2.73%,212559409,211049527,91.715,33.5,0,0.657,9.666,0,0,0.115,54,1312663,1316719,1349802,1571383,115.667,8,0,8,8,Latin America and Caribbean,6.376,0.041,6.456,6.296,9.566,0.897,66.480,0.800,-0.102,0.771,0.181,-0.046,0.011,-0.015,0.121,0.004,0.031,-0.015
35,Mexico,Latin America and Caribbean,6.317,0.053,6.42,6.213,9.859,0.831,68.597,0.862,-0.147,0.799,2.43,1.126,0.83,0.634,0.585,0.092,0.089,2.961,129166028,1.06%,1357224,66,1943950,-60000,2.1,29,84%,1.65%,128932753,127575529,97.576,29.3,0,0.848,9.434,0,0,0.129,47.5,701160,718206,728889,1045794,257.075,8,0,8,8,Latin America and Caribbean,6.465,0.048,6.559,6.371,9.798,0.839,68.299,0.859,-0.175,0.807,0.698,-0.148,0.061,-0.008,0.298,0.003,0.028,-0.008
36,Jamaica,Latin America and Caribbean,6.309,0.156,6.615,6.004,9.186,0.877,67.5,0.89,-0.137,0.884,2.43,0.891,0.932,0.599,0.618,0.099,0.035,3.135,2963429,0.44%,12888,273,10830,-11332,2,31,55%,0.04%,2961161,2948279,10.199,31.4,1,1.045,9.502,0,0,0.133,37.48,,,,,,9,0,9,9,Latin America and Caribbean,5.890,0.121,6.126,5.653,9.006,0.916,67.100,0.858,-0.125,0.889,1.190,0.419,0.180,-0.039,0.400,0.032,-0.012,-0.005
37,Lithuania,Central and Eastern Europe,6.255,0.045,6.344,6.167,10.499,0.935,67.906,0.773,-0.203,0.826,2.43,1.35,1.065,0.612,0.476,0.056,0.073,2.624,2715340,-1.35%,-37338,43,62674,-32780,1.7,45,71%,0.03%,2722291,2786844,53.558,43.5,0,2.539,8.944,0,1,0.189,36.9,39990,39452,38184,43824,167.552,10,0,10,10,Central and Eastern Europe,6.215,0.044,6.302,6.129,10.344,0.926,67.294,0.747,-0.220,0.810,-0.596,0.040,0.155,0.009,0.612,0.026,0.017,0.016
38,Cyprus,Western Europe,6.223,0.049,6.319,6.128,10.576,0.802,73.898,0.763,-0.015,0.844,2.43,1.377,0.765,0.801,0.464,0.178,0.061,2.578,1208886,0.73%,8784,131,9240,5000,1.3,37,67%,0.02%,875899,1198575,13.586,37.3,1,1.908,8.968,0,0,0.174,29.1,6009,5798,6218,6636,60.513,10,0,10,10,Western Europe,6.159,0.051,6.258,6.060,10.406,0.806,73.702,0.780,0.044,0.856,0.951,0.064,0.170,-0.004,0.196,-0.017,-0.059,-0.012
39,Estonia,Central and Eastern Europe,6.189,0.038,6.263,6.115,10.481,0.941,68.8,0.909,-0.106,0.527,2.43,1.344,1.079,0.64,0.641,0.119,0.263,2.103,1326693,0.07%,887,31,42390,3911,1.6,42,68%,0.02%,1326539,1326590,17.263,42.7,0,2.365,8.93,0,1,0.27,30.6,15476,15684,15332,16206,53.421,9,0,9,9,Central and Eastern Europe,6.022,0.036,6.092,5.951,10.340,0.935,68.605,0.878,-0.112,0.623,0.021,0.167,0.141,0.006,0.195,0.031,0.006,-0.096
40,Panama,Latin America and Caribbean,6.18,0.073,6.323,6.036,10.35,0.896,69.652,0.872,-0.166,0.856,2.43,1.298,0.976,0.667,0.596,0.079,0.053,2.509,4326296,1.61%,68328,58,74340,11200,2.5,30,68%,0.06%,4314768,4246439,93.215,29.7,0,0.91,9.568,0,0,0.182,49.8,19482,19720,20332,23876,94.177,9,0,9,9,Latin America and Caribbean,6.305,0.060,6.422,6.188,10.034,0.902,69.603,0.880,-0.154,0.852,0.919,-0.125,0.316,-0.006,0.049,-0.008,-0.012,0.004
41,Uzbekistan,Commonwealth of Independent States,6.179,0.068,6.312,6.045,8.836,0.918,65.255,0.97,0.311,0.515,2.43,0.769,1.027,0.528,0.716,0.391,0.271,2.477,33551824,1.48%,487487,79,425400,-8863,2.4,28,50%,0.43%,33469199,33580650,1.834,28.2,0,1.141,8.62,0,0,0.435,39.7,160723,154913,154570,175637,56.381,0,9,-9,-9,Commonwealth of Independent States,6.258,0.054,6.364,6.151,8.740,0.927,65.108,0.975,0.248,0.501,1.146,-0.079,0.096,-0.009,0.147,-0.005,0.063,0.014
42,Chile,Latin America and Caribbean,6.172,0.046,6.262,6.081,10.071,0.882,70,0.742,-0.044,0.83,2.43,1.2,0.946,0.678,0.438,0.159,0.07,2.682,19144605,0.87%,164163,26,743532,111708,1.7,35,85%,0.25%,19116209,18952038,86.879,35.4,0,0.562,9.722,0,0,0.097,45.92,106045,106458,109079,127387,106.088,10,0,10,10,Latin America and Caribbean,6.228,0.046,6.318,6.139,10.032,0.880,69.901,0.745,-0.066,0.838,0.221,-0.056,0.039,0.002,0.099,-0.003,0.022,-0.008
43,Poland,Central and Eastern Europe,6.166,0.04,6.245,6.087,10.382,0.898,69.702,0.841,-0.165,0.735,2.43,1.309,0.982,0.668,0.558,0.08,0.13,2.438,37839255,-0.11%,-41157,124,306230,-29395,1.4,42,60%,0.49%,37846605,37970874,75.447,41.8,0,3.199,8.978,0,0,0.304,27.8,402533,411312,407624,485441,206.508,10,0,10,10,Central and Eastern Europe,6.186,0.036,6.256,6.117,10.265,0.874,69.311,0.862,-0.205,0.687,-0.134,-0.020,0.117,0.024,0.391,-0.021,0.040,0.048
44,Kazakhstan,Commonwealth of Independent States,6.152,0.047,6.243,6.06,10.155,0.952,65.2,0.853,-0.069,0.733,2.43,1.23,1.103,0.527,0.573,0.143,0.132,2.446,18815231,1.21%,225280,7,2699700,-18000,2.8,31,58%,0.24%,18776707,18513930,14.704,30.6,0,1.137,8.621,0,0,0.352,27.45,74381,130515,133489,162613,267.188,0,6,-6,-6,Commonwealth of Independent States,6.058,0.043,6.143,5.973,10.115,0.935,64.610,0.812,-0.068,0.764,0.083,0.094,0.040,0.017,0.590,0.041,-0.001,-0.031
