Country name,Regional indicator_x,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Population_2020,Population_2019,"COVID-19_deaths_per_100,000_population_in_2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018",All-cause death _count_2019,All-cause_death_count_2020,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average",democ,autoc,polity,polity2,Regional indicator_y,Ladder score 2020,Standard error of ladder score 2020,upperwhisker 2020,lowerwhisker 2020,Logged GDP per capita 2020,Social support 2020,Healthy life expectancy 2020,Freedom to make life choices 2020,Generosity 2020,Perceptions of corruption 2020,Population_density_net_change,Change_in_ladder_score,Change_in_GDP_per_capita,Change_in_social_support,Change_in_healthy_life_expectancy,Change_in_freedom_to_make_life_choice,Change_in_generosity_2020,Change_in_perceptions_of_corruption
Israel,Middle East and North Africa,7.157,0.034,7.224,7.09,10.575,0.939,73.503,0.8,0.031,0.753,2.43,1.376,1.074,0.788,0.509,0.208,0.119,3.083,8678517.0,1.60 %,136158.0,400.0,21640.0,10000.0,3.0,30,93 %,0.11 %,8655541.0,9053300.0,38.415,30.6,0.0,2.25,8.97,0.0,0.0,0.262,34.4,44425.0,44397.0,45794.0,49469.0,51.918,7.0,1.0,6.0,6.0,Middle East and North Africa,7.128600121,0.042515181,7.211929798,7.045270443,10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,0.78085506,6.291959334565619,0.028399879000000183,0.1574747099999989,0.02542876099999991,0.3027436499999965,0.052419412,-0.07159372,-0.027855060000000043
Germany,Western Europe,7.155,0.04,7.232,7.077,10.873,0.903,72.5,0.875,0.011,0.46,2.43,1.48,0.993,0.757,0.6,0.195,0.306,2.824,83830972.0,0.32 %,266897.0,240.0,348560.0,543822.0,1.6,46,76 %,1.07 %,83783945.0,83132799.0,40.331,46.6,0.0,4.838,9.018,0.0,1.0,0.435,31.1,929351.0,952295.0,936772.0,1000855.0,73.548,10.0,0.0,10.0,10.0,Western Europe,7.075799942,0.035609804,7.145595074,7.00600481,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031,0.7657132201055772,0.07920005800000052,0.14018139999999946,0.00412553800000004,0.29798126000000025,0.0076289179999999845,-0.06917938600000001,0.003577969000000014
Canada,North America and ANZ,7.103,0.042,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415,2.43,1.447,1.044,0.798,0.648,0.246,0.335,2.585,37799407.0,0.89 %,331107.0,4.0,9093510.0,242032.0,1.5,41,81 %,0.48 %,37742157.0,37589262.0,41.418,41.4,0.0,2.296,9.268,0.0,0.0,0.482,35.25,,,,,,10.0,0.0,10.0,10.0,North America and ANZ,7.23210001,0.04040546,7.311294556,7.152905464,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,0.0364113527119891,-0.12910001000000015,0.08363149000000014,-0.0011766539999999992,0.19839935000000253,-0.018913230999999975,-0.03577076800000001,0.024156637999999953
Ireland,Western Europe,7.085,0.04,7.164,7.006,11.342,0.947,72.4,0.879,0.077,0.363,2.43,1.644,1.092,0.753,0.606,0.238,0.367,2.384,4947267.0,1.13 %,55291.0,72.0,68890.0,23604.0,1.8,38,63 %,0.06 %,4937796.0,4941444.0,45.304,38.7,1.0,3.188,9.1,0.0,0.0,0.431,30.6,,30621.0,30728.0,32271.0,32.32,10.0,0.0,10.0,10.0,Western Europe,7.093699932,0.039863452,7.171832085,7.01556778,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172,0.8025983451879808,-0.008699931999999855,0.18102168000000063,0.004918428999999946,0.09921112000000676,-0.007982976999999947,-0.06878497400000001,0.005815827999999967
Costa Rica,Latin America and Caribbean,7.069,0.056,7.179,6.96,9.88,0.891,71.4,0.934,-0.126,0.809,2.43,1.134,0.966,0.722,0.673,0.105,0.083,3.387,5102158.0,0.92 %,46557.0,100.0,51060.0,4200.0,1.8,33,80 %,0.07 %,5094114.0,5047561.0,42.893,33.6,0.0,0.864,9.549,0.0,0.0,0.213,48.6,,,,,,10.0,0.0,10.0,10.0,Latin America and Caribbean,7.121399879,0.044816118,7.209239483,7.033560276,9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428,0.9118096357226791,-0.052399879000000205,0.2218436050000001,-0.01054594200000003,0.10014954000000387,-0.0007389339999999134,-0.023570290000000008,0.022667572000000025
United Kingdom,Western Europe,7.064,0.038,7.138,6.99,10.707,0.934,72.5,0.859,0.233,0.459,2.43,1.423,1.062,0.757,0.58,0.34,0.306,2.596,67948282.0,0.53 %,355839.0,281.0,241930.0,260650.0,1.8,40,83 %,0.87 %,67886004.0,66834405.0,108.45,40.8,1.0,5.009,9.087,0.0,0.0,0.268,34.07,606874.0,613309.0,600532.0,696705.0,133.313,8.0,0.0,8.0,8.0,Western Europe,7.164500237,0.037161909,7.237337589,7.091662884,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,1.4708345389162154,-0.10050023700000033,0.10686515000000085,-0.0026828199999999747,0.198394780000001,0.02425632099999997,-0.030732493,0.023084083000000033
Czech Republic,Central and Eastern Europe,6.965,0.049,7.062,6.868,10.556,0.947,70.807,0.858,-0.208,0.868,2.43,1.37,1.09,0.703,0.58,0.052,0.046,3.124,,,,,,,,,,,10708982.0,10669709.0,108.133,43.3,0.0,4.817,9.025,0.0,0.0,0.29,24.0,111007.0,112604.0,112040.0,131440.0,182.952,9.0,0.0,9.0,9.0,Central and Eastern Europe,6.910900116,0.042891297,6.994966984,6.826833248,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624,,0.05409988400000021,0.15183663999999908,0.032569321999999956,0.7590645100000017,0.039462645999999935,0.022861515,0.009553759999999967
United States,North America and ANZ,6.951,0.049,7.047,6.856,11.023,0.92,68.2,0.837,0.098,0.698,2.43,1.533,1.03,0.621,0.554,0.252,0.154,2.807,331341050.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,331002647.0,328239523.0,104.451,38.3,0.0,1.688,9.315,0.0,0.0,0.25,47.51,2810927.0,2839076.0,2852747.0,3424996.0,179.22,,,,,North America and ANZ,6.939599991,0.047316168,7.032339573,6.846860409,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,0.21183393787537907,0.011400008999999933,0.09723114999999893,0.005780977999999992,-0.09949951000000112,-0.005619538000000035,-0.051891733999999995,-0.0017153160000000778
Belgium,Western Europe,6.834,0.034,6.901,6.767,10.823,0.906,72.199,0.783,-0.153,0.646,2.43,1.463,0.998,0.747,0.489,0.088,0.187,2.862,11598451.0,0.44 %,50295.0,383.0,30280.0,48000.0,1.7,42,98 %,0.15 %,11589616.0,11484055.0,168.496,41.8,0.0,6.343,9.071,0.0,0.0,0.303,25.6,109278.0,110341.0,108436.0,128952.0,169.894,8.0,0.0,8.0,8.0,Western Europe,6.863500118,0.034370355,6.930866241,6.796133995,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,1.660997357992074,-0.02950011800000052,0.1493607000000008,-0.005632537999999965,0.19735204999999212,-0.030582062999999993,-0.074308801,0.033702047999999984
France,Western Europe,6.69,0.037,6.762,6.618,10.704,0.942,74.0,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,65298930.0,0.22 %,143783.0,119.0,547557.0,36527.0,1.9,42,82 %,0.84 %,65273512.0,67059887.0,99.212,42.0,0.0,5.031,9.092,0.0,0.0,0.234,29.3,604105.0,607786.0,611291.0,678259.0,106.597,10.0,0.0,10.0,10.0,Western Europe,6.663799763,0.037576791,6.737450123,6.590149403,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,0.26259001345978594,0.026200237000000293,0.11977721000000052,0.00489625199999999,0.1980667100000062,-0.0034676460000000464,-0.016358032999999994,-0.012521128000000048
